lat,lon,link,title,date,type
46.63578,11.76566,https://maremonte.github.io/planning/posts/2022-04-09-val-di-funes,Val di Funes,20220409,walk
44.0519,9.83459,https://maremonte.github.io/planning/posts/2022-02-28-cinque-terre/,Cinque Terre,20220228,trekking
37.02313,-8.99579,https://maremonte.github.io/planning/posts/2021-12-28-fishermen/,Fishermen Trail,20211228,trekking
46.66142,11.85073,https://maremonte.github.io/planning/posts/2022-04-10-dolorama/,Dolorama,20220410,trekking
